what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1415680934399
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1415680934399
java.version,sysinfo,,,"1.6.0_10-rc2",1415680934399
java.vm.info,sysinfo,,,"mixed mode",1415680934399
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1415680934399
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1415680934399
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1415680934399
java.vm.specification.version,sysinfo,,,"1.0",1415680934399
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1415680934399
java.vm.version,sysinfo,,,"11.0-b15",1415680934399
started,bundle,org.eclipse.help.base,3.5.0.v201006080911,"org.eclipse.help.base",1415680937545
started,bundle,org.eclipse.help.ui,3.5.0.v20100517,"org.eclipse.help.ui",1415680937551
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1415680937571
started,bundle,org.eclipse.equinox.http.servlet,1.1.0.v20100503,"org.eclipse.equinox.http.servlet",1415680937617
started,bundle,org.eclipse.equinox.http.registry,1.1.0.v20100503,"org.eclipse.equinox.http.registry",1415680937692
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1415680938211
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1415680939063
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1415680939376
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1415680939400
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1415680939422
started,bundle,org.eclipse.help.webapp,3.5.0.v20100507,"org.eclipse.help.webapp",1415680939536
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1415680941769
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1415680941770
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1415680943351
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1415680943664
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1415680943666
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1415680943667
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1415680943667
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1415680943668
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1415680943669
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1415680943670
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1415680943670
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1415680943671
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1415680943671
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1415680943690
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1415680943691
